Datetime,Open,High,Low,Close,Adj Close,Volume
2023-11-03 20:30:00+00:00,34629.16015625,34643.046875,34599.6015625,34599.6015625,34599.6015625,0
2023-11-03 20:35:00+00:00,34598.2734375,34618.46484375,34598.2734375,34615.83984375,34615.83984375,0
2023-11-03 20:40:00+00:00,34614.75,34630.796875,34614.75,34624.7578125,34624.7578125,0
2023-11-03 20:45:00+00:00,34629.3671875,34670.41796875,34629.3671875,34670.41796875,34670.41796875,0
2023-11-03 20:50:00+00:00,34664.78125,34670.75390625,34649.96484375,34649.96484375,34649.96484375,1994752
2023-11-03 20:55:00+00:00,34650.40234375,34659.53515625,34613.44140625,34624.5234375,34624.5234375,0
2023-11-03 21:00:00+00:00,34614.55078125,34652.6875,34614.55078125,34652.6875,34652.6875,0
2023-11-03 21:05:00+00:00,34649.890625,34672.12109375,34649.890625,34660.5234375,34660.5234375,0
2023-11-03 21:10:00+00:00,34671.31640625,34674.79296875,34662.453125,34674.79296875,34674.79296875,0
2023-11-03 21:15:00+00:00,34677.34765625,34706.9921875,34677.34765625,34704.07421875,34704.07421875,397312
2023-11-03 21:20:00+00:00,34714.33984375,34722.0078125,34705.8828125,34705.8828125,34705.8828125,8644608
2023-11-03 21:25:00+00:00,34697.9609375,34717.7265625,34695.078125,34717.7265625,34717.7265625,0
2023-11-03 21:30:00+00:00,34720.9375,34721.11328125,34708.26953125,34708.26953125,34708.26953125,0
2023-11-03 21:35:00+00:00,34701.3125,34712.58203125,34701.3125,34702.01171875,34702.01171875,1980416
2023-11-03 21:40:00+00:00,34684.23046875,34689.4765625,34678.0546875,34687.66796875,34687.66796875,0
2023-11-03 21:45:00+00:00,34682.62109375,34682.62109375,34671.91015625,34676.56640625,34676.56640625,49152
2023-11-03 21:50:00+00:00,34677.69921875,34677.69921875,34649.671875,34654.15234375,34654.15234375,0
2023-11-03 21:55:00+00:00,34654.37890625,34654.515625,34629.7578125,34629.7578125,34629.7578125,169220096
2023-11-03 22:00:00+00:00,34626.30078125,34636.56640625,34611.125,34628.7109375,34628.7109375,0
2023-11-03 22:05:00+00:00,34633.546875,34642.5625,34630.41796875,34630.73046875,34630.73046875,0
2023-11-03 22:10:00+00:00,34633.15234375,34645.6953125,34630.125,34645.6953125,34645.6953125,9570304
2023-11-03 22:15:00+00:00,34637.22265625,34637.22265625,34631.5078125,34631.5078125,34631.5078125,0
2023-11-03 22:20:00+00:00,34627.1875,34627.1875,34595.765625,34595.765625,34595.765625,0
2023-11-03 22:25:00+00:00,34599.21484375,34603.5078125,34594.53125,34603.5078125,34603.5078125,9132032
2023-11-03 22:30:00+00:00,34610.70703125,34634.40234375,34610.70703125,34620.0859375,34620.0859375,18251776
2023-11-03 22:35:00+00:00,34608.44921875,34614.20703125,34595.0546875,34614.20703125,34614.20703125,9969664
2023-11-03 22:40:00+00:00,34608.25390625,34622.14453125,34602.34765625,34608.11328125,34608.11328125,0
2023-11-03 22:45:00+00:00,34610.08984375,34629.359375,34610.08984375,34629.359375,34629.359375,0
2023-11-03 22:50:00+00:00,34639.23046875,34639.23046875,34627.39453125,34627.39453125,34627.39453125,0
2023-11-03 22:55:00+00:00,34639.5859375,34646.65234375,34639.5859375,34640.14453125,34640.14453125,0
2023-11-03 23:00:00+00:00,34647.21484375,34692.7890625,34647.21484375,34682.640625,34682.640625,0
2023-11-03 23:05:00+00:00,34686.92578125,34688.81640625,34644.203125,34644.203125,34644.203125,4174848
2023-11-03 23:10:00+00:00,34640.3125,34666.7421875,34640.3125,34666.7421875,34666.7421875,15261696
2023-11-03 23:15:00+00:00,34667.94140625,34667.94140625,34663.10546875,34664.37109375,34664.37109375,0
2023-11-03 23:20:00+00:00,34666.1796875,34666.1796875,34658.86328125,34661.88671875,34661.88671875,0
2023-11-03 23:25:00+00:00,34661.57421875,34711.3828125,34661.57421875,34711.3828125,34711.3828125,0
2023-11-03 23:30:00+00:00,34719.1015625,34741.76953125,34716.24609375,34736.97265625,34736.97265625,35769344
2023-11-03 23:35:00+00:00,34718.8671875,34720.890625,34701.34375,34702.95703125,34702.95703125,3817472
2023-11-03 23:40:00+00:00,34708.50390625,34713.87890625,34708.50390625,34713.87890625,34713.87890625,0
2023-11-03 23:45:00+00:00,34715.51953125,34715.51953125,34705.05859375,34714.28125,34714.28125,0
2023-11-03 23:50:00+00:00,34726.4375,34742.07421875,34726.4375,34742.07421875,34742.07421875,0
2023-11-03 23:55:00+00:00,34741.40234375,34741.40234375,34733.31640625,34733.31640625,34733.31640625,0
2023-11-04 00:00:00+00:00,34736.32421875,34736.66796875,34706.10546875,34710.84765625,34710.84765625,0
2023-11-04 00:05:00+00:00,34713.1640625,34714.36328125,34709.1171875,34714.36328125,34714.36328125,0
2023-11-04 00:10:00+00:00,34721.62890625,34737.7265625,34720.4453125,34735.23046875,34735.23046875,0
2023-11-04 00:15:00+00:00,34725.99609375,34734.6328125,34707.8671875,34711.34375,34711.34375,0
2023-11-04 00:20:00+00:00,34727.33203125,34737.34765625,34726.1484375,34728.58203125,34728.58203125,0
2023-11-04 00:25:00+00:00,34717.36328125,34717.36328125,34699.890625,34702.05078125,34702.05078125,0
2023-11-04 00:30:00+00:00,34699.5234375,34710.73046875,34698.78515625,34704.0234375,34704.0234375,0
2023-11-04 00:35:00+00:00,34700.1015625,34706.80859375,34697.625,34706.80859375,34706.80859375,0
2023-11-04 00:40:00+00:00,34702.296875,34711.68359375,34697.23828125,34701.62890625,34701.62890625,0
2023-11-04 00:45:00+00:00,34707.40234375,34707.40234375,34688.796875,34688.796875,34688.796875,0
2023-11-04 00:50:00+00:00,34681.9296875,34694.640625,34681.87890625,34694.640625,34694.640625,0
2023-11-04 00:55:00+00:00,34704.0546875,34711.546875,34704.0546875,34711.546875,34711.546875,0
2023-11-04 01:00:00+00:00,34717.4375,34717.4375,34705.8515625,34709.4609375,34709.4609375,0
2023-11-04 01:05:00+00:00,34709.76953125,34732.62890625,34709.76953125,34731.3359375,34731.3359375,0
2023-11-04 01:10:00+00:00,34736.90234375,34753.20703125,34736.90234375,34753.20703125,34753.20703125,0
2023-11-04 01:15:00+00:00,34753.390625,34772.01171875,34752.0078125,34762.2265625,34762.2265625,0
2023-11-04 01:20:00+00:00,34761.99609375,34761.99609375,34742.33984375,34742.33984375,34742.33984375,0
