periodos_rsi,rsi_base,rsi_teto,resultado_df
14,17,80,"Valor final investido                               1142.754703
Resultado percentual final                            13.317471
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.436670
Quantidade de operações positivas                     67.000000
Percentual de operações positivas                     80.722892
Quantidade de operações negativas                     16.000000
Percentual de operações negativas                     19.277108
Media resultados comprados                             0.379185
Media resultados venda                                 0.008677
Número abertura de compra                             35.000000
Número abertura de venda                              49.000000
Número fechamento de compra                           34.000000
Número fechamento de venda                            49.000000
Total de operações abertas                            84.000000
Total de operações finalizadas                        83.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1201.474713
Name: 0, dtype: float64"
14,17,81,"Valor final investido                               1123.363442
Resultado percentual final                            11.600000
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.436670
Quantidade de operações positivas                     61.000000
Percentual de operações positivas                     79.220779
Quantidade de operações negativas                     16.000000
Percentual de operações negativas                     20.779221
Media resultados comprados                             0.384893
Media resultados venda                                -0.034567
Número abertura de compra                             35.000000
Número abertura de venda                              43.000000
Número fechamento de compra                           34.000000
Número fechamento de venda                            43.000000
Total de operações abertas                            78.000000
Total de operações finalizadas                        77.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1182.781001
Name: 0, dtype: float64"
14,17,82,"Valor final investido                               1130.615712
Resultado percentual final                            12.234072
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.436670
Quantidade de operações positivas                     59.000000
Percentual de operações positivas                     78.666667
Quantidade de operações negativas                     16.000000
Percentual de operações negativas                     21.333333
Media resultados comprados                             0.399551
Media resultados venda                                -0.032943
Número abertura de compra                             35.000000
Número abertura de venda                              41.000000
Número fechamento de compra                           34.000000
Número fechamento de venda                            41.000000
Total de operações abertas                            76.000000
Total de operações finalizadas                        75.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1190.270704
Name: 0, dtype: float64"
14,17,83,"Valor final investido                               1155.318430
Resultado percentual final                            14.375614
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.436670
Quantidade de operações positivas                     59.000000
Percentual de operações positivas                     80.821918
Quantidade de operações negativas                     14.000000
Percentual de operações negativas                     19.178082
Media resultados comprados                             0.413365
Media resultados venda                                 0.008236
Número abertura de compra                             35.000000
Número abertura de venda                              39.000000
Número fechamento de compra                           34.000000
Número fechamento de venda                            39.000000
Total de operações abertas                            74.000000
Total de operações finalizadas                        73.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1205.619947
Name: 0, dtype: float64"
14,17,84,"Valor final investido                               1177.888883
Resultado percentual final                            16.298535
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.436670
Quantidade de operações positivas                     58.000000
Percentual de operações positivas                     81.690141
Quantidade de operações negativas                     13.000000
Percentual de operações negativas                     18.309859
Media resultados comprados                             0.456591
Media resultados venda                                 0.020931
Número abertura de compra                             35.000000
Número abertura de venda                              37.000000
Número fechamento de compra                           34.000000
Número fechamento de venda                            37.000000
Total de operações abertas                            72.000000
Total de operações finalizadas                        71.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1210.159889
Name: 0, dtype: float64"
14,18,80,"Valor final investido                               1147.573604
Resultado percentual final                            13.727992
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.218903
Quantidade de operações positivas                     72.000000
Percentual de operações positivas                     79.120879
Quantidade de operações negativas                     19.000000
Percentual de operações negativas                     20.879121
Media resultados comprados                             0.343486
Media resultados venda                                 0.012746
Número abertura de compra                             39.000000
Número abertura de venda                              53.000000
Número fechamento de compra                           38.000000
Número fechamento de venda                            53.000000
Total de operações abertas                            92.000000
Total de operações finalizadas                        91.000000
Maior rebaixamento ma conta durante operacoes        998.216526
Maior valor alcançado na conta durante operacoes    1215.235362
Name: 0, dtype: float64"
14,18,81,"Valor final investido                               1119.503682
Resultado percentual final                            11.241474
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.183753
Quantidade de operações positivas                     65.000000
Percentual de operações positivas                     78.313253
Quantidade de operações negativas                     18.000000
Percentual de operações negativas                     21.686747
Media resultados comprados                             0.337514
Media resultados venda                                -0.027099
Número abertura de compra                             38.000000
Número abertura de venda                              46.000000
Número fechamento de compra                           37.000000
Número fechamento de venda                            46.000000
Total de operações abertas                            84.000000
Total de operações finalizadas                        83.000000
Maior rebaixamento ma conta durante operacoes        993.381064
Maior valor alcançado na conta durante operacoes    1182.257511
Name: 0, dtype: float64"
14,18,82,"Valor final investido                               1126.731033
Resultado percentual final                            11.875547
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.183753
Quantidade de operações positivas                     63.000000
Percentual de operações positivas                     77.777778
Quantidade de operações negativas                     18.000000
Percentual de operações negativas                     22.222222
Media resultados comprados                             0.350983
Media resultados venda                                -0.025246
Número abertura de compra                             38.000000
Número abertura de venda                              44.000000
Número fechamento de compra                           37.000000
Número fechamento de venda                            44.000000
Total de operações abertas                            82.000000
Total de operações finalizadas                        81.000000
Maior rebaixamento ma conta durante operacoes        993.381064
Maior valor alcançado na conta durante operacoes    1189.047687
Name: 0, dtype: float64"
14,18,83,"Valor final investido                               1142.899223
Resultado percentual final                            13.279218
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -2.183753
Quantidade de operações positivas                     61.000000
Percentual de operações positivas                     79.220779
Quantidade de operações negativas                     16.000000
Percentual de operações negativas                     20.779221
Media resultados comprados                             0.363681
Media resultados venda                                -0.004425
Número abertura de compra                             38.000000
Número abertura de venda                              40.000000
Número fechamento de compra                           37.000000
Número fechamento de venda                            40.000000
Total de operações abertas                            78.000000
Total de operações finalizadas                        77.000000
Maior rebaixamento ma conta durante operacoes        993.927560
Maior valor alcançado na conta durante operacoes    1191.015435
Name: 0, dtype: float64"
14,18,84,"Valor final investido                               1166.455964
Resultado percentual final                            15.306163
Maior resultado operacao fechada                       1.418567
Menor resultado percentual de operação fechada        -1.821534
Quantidade de operações positivas                     61.000000
Percentual de operações positivas                     81.333333
Quantidade de operações negativas                     14.000000
Percentual de operações negativas                     18.666667
Media resultados comprados                             0.406231
Media resultados venda                                 0.007253
Número abertura de compra                             38.000000
Número abertura de venda                              38.000000
Número fechamento de compra                           37.000000
Número fechamento de venda                            38.000000
Total de operações abertas                            76.000000
Total de operações finalizadas                        75.000000
Maior rebaixamento ma conta durante operacoes        995.108255
Maior valor alcançado na conta durante operacoes    1198.413738
Name: 0, dtype: float64"
