time,price,kind,quantity,resultado
2023-11-21 10:10:00+00:00,37342.25,buy,100,
2023-11-22 03:15:00+00:00,36319.10546875,Close Buy,100,-1023.14453125
2023-11-22 03:15:00+00:00,36319.10546875,sell,100,
2023-11-22 12:00:00+00:00,36482.96484375,Close Sell,100,-163.859375
2023-11-22 12:00:00+00:00,36482.96484375,buy,100,
2023-11-22 18:15:00+00:00,37000.5,Close Buy,100,517.53515625
2023-11-22 18:15:00+00:00,37000.5,sell,100,
2023-11-22 23:15:00+00:00,37347.12109375,Close Sell,100,-346.62109375
2023-11-22 23:15:00+00:00,37347.12109375,buy,100,
2023-11-23 09:50:00+00:00,37585.04296875,Close Buy,100,237.921875
2023-11-23 11:05:00+00:00,37443.54296875,buy,100,
2023-11-24 08:00:00+00:00,37552.3984375,Close Buy,100,108.85546875
2023-11-24 08:00:00+00:00,37552.3984375,sell,100,
2023-11-24 16:50:00+00:00,37761.48828125,Close Sell,100,-209.08984375
2023-11-24 16:50:00+00:00,37761.48828125,buy,100,
2023-11-24 20:55:00+00:00,37891.70703125,Close Buy,100,130.21875
2023-11-24 20:55:00+00:00,37891.70703125,sell,100,
2023-11-24 22:10:00+00:00,37739.54296875,Close Sell,100,152.1640625
2023-11-25 03:25:00+00:00,37856.98046875,sell,100,
2023-11-25 09:20:00+00:00,37762.55859375,Close Sell,100,94.421875
2023-11-25 09:20:00+00:00,37762.55859375,buy,100,
2023-11-25 12:45:00+00:00,37719.1875,Close Buy,100,-43.37109375
2023-11-25 12:45:00+00:00,37719.1875,sell,100,
2023-11-26 01:55:00+00:00,37703.96484375,Close Sell,100,15.22265625
2023-11-26 01:55:00+00:00,37703.96484375,buy,100,
2023-11-26 20:45:00+00:00,37592.0546875,Close Buy,100,-111.91015625
2023-11-26 20:45:00+00:00,37592.0546875,sell,100,
2023-11-26 23:05:00+00:00,37455.49609375,Close Sell,100,136.55859375
2023-11-26 23:15:00+00:00,37415.10546875,buy,100,
2023-11-27 17:05:00+00:00,37090.55859375,Close Buy,100,-324.546875
2023-11-27 17:05:00+00:00,37090.55859375,sell,100,
2023-11-27 17:50:00+00:00,36956.21875,Close Sell,100,134.33984375
2023-11-27 23:20:00+00:00,37152.578125,sell,100,
2023-11-28 01:45:00+00:00,37213.0703125,Close Sell,100,-60.4921875
2023-11-28 01:45:00+00:00,37213.0703125,buy,100,
2023-11-28 13:50:00+00:00,37406.2578125,Close Buy,100,193.1875
2023-11-28 21:55:00+00:00,37972.390625,buy,100,
2023-11-29 06:40:00+00:00,38149.59375,Close Buy,100,177.203125
2023-11-29 06:40:00+00:00,38149.59375,sell,100,
2023-11-29 10:40:00+00:00,38009.265625,Close Sell,100,140.328125
2023-11-29 11:05:00+00:00,38012.35546875,buy,100,
2023-11-29 12:30:00+00:00,38237.28125,Close Buy,100,224.92578125
2023-11-29 14:45:00+00:00,37840.60546875,buy,100,
2023-11-30 03:45:00+00:00,38041.6953125,Close Buy,100,201.08984375
2023-11-30 04:10:00+00:00,38132.62109375,sell,100,
2023-11-30 04:30:00+00:00,38014.296875,Close Sell,100,118.32421875
2023-11-30 05:20:00+00:00,37946.1015625,buy,100,
2023-11-30 12:05:00+00:00,37901.140625,Close Buy,100,-44.9609375
2023-11-30 12:05:00+00:00,37901.140625,sell,100,
2023-11-30 13:50:00+00:00,37770.1171875,Close Sell,100,131.0234375
2023-12-02 01:40:00+00:00,38797.953125,sell,100,
2023-12-02 02:35:00+00:00,38706.0859375,Close Sell,100,91.8671875
2023-12-02 02:35:00+00:00,38706.0859375,buy,100,
2023-12-02 03:35:00+00:00,38769.43359375,Close Buy,100,63.34765625
2023-12-02 03:35:00+00:00,38769.43359375,sell,100,
2023-12-02 11:05:00+00:00,38729.01953125,Close Sell,100,40.4140625
2023-12-02 11:05:00+00:00,38729.01953125,buy,100,
2023-12-02 18:00:00+00:00,38823.08203125,Close Buy,100,94.0625
2023-12-02 18:00:00+00:00,38823.08203125,sell,100,
2023-12-03 03:15:00+00:00,39326.75,Close Sell,100,-503.66796875
2023-12-03 03:15:00+00:00,39326.75,buy,100,
2023-12-03 10:55:00+00:00,39538.6875,Close Buy,100,211.9375
2023-12-03 17:55:00+00:00,39529.9765625,buy,100,
